,College,Credits:,Instructor,Course Subject,Class ID,Section Number,Course Name,Time of Course,Course Building,Course Room,Class Days,Dates,Location
0,Alamance Community College,1.0,P. Harrison,ACA,111,01E (5550),College Student Success,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
1,Alamance Community College,1.0,M. Isbell,ACA,111,02E (4330),College Student Success,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
2,Alamance Community College,1.0,W. Shirley,ACA,111,41W (5812),College Student Success,11:15AM - 12:10PM, B Wing, B220,"Monday, Wednesday",08/17/2020-10/12/2020,Graham Campus
3,Alamance Community College,1.0,A. Fecher,ACA,111,44E (4339),College Student Success,No time given,Online,Online,Days to be Announced,08/17/2020-10/12/2020,Online
4,Alamance Community College,1.0,K. Chappell,ACA,111,51E (5553),College Student Success,No time given,Online,Online,Days to be Announced,10/13/2020-12/15/2020,Online
5,Alamance Community College,1.0,J. Jones,ACA,111,52E (6871),College Student Success,No time given,Online,Online,Days to be Announced,10/13/2020-12/15/2020,Online
6,Alamance Community College,1.0,M. Isbell,ACA,111,81E (5554),College Student Success,No time given,Online,Online,Days to be Announced,09/15/2020-12/15/2020,Online
7,Alamance Community College,1.0,W. Hunter,ACA,111,AU44E (6322),College Student Success,No time given,Online,Online,Days to be Announced,08/17/2020-10/12/2020,Online
8,Alamance Community College,1.0,C. Swinton,ACA,111,BU02E (6448),College Student Success,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
9,Alamance Community College,1.0,C. Swinton,ACA,111,BU04E (4331),College Student Success,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
10,Alamance Community College,1.0,T. Wanless,ACA,111,CU07E (6477),College Student Success,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
11,Alamance Community College,1.0,L. Heise,ACA,111,HO42E (6384),College Student Success,No time given,Online,Online,Days to be Announced,08/17/2020-10/12/2020,Online
12,Alamance Community College,1.0,B. Pagura,ACA,111,HV01H (6342),College Student Success,09:05AM - 10:00AM, Adv Applied Technology Ctr, T120 ,Friday,08/17/2020-12/15/2020,Graham Campus
13,Alamance Community College,1.0,B. Pagura,ACA,111,HV02H (6343),College Student Success,11:15AM - 12:10PM, Adv Applied Technology Ctr, T120 ,Friday,08/17/2020-12/15/2020,Graham Campus
14,Alamance Community College,1.0,J. Trotter,ACA,122,01E (5533),College Transfer Success,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
15,Alamance Community College,1.0,P. Harrison,ACA,122,02E (5555),College Transfer Success,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
16,Alamance Community College,1.0,P. Carr,ACA,122,03E (5556),College Transfer Success,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
17,Alamance Community College,1.0,J. Trotter,ACA,122,06E (4344),College Transfer Success,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
18,Alamance Community College,1.0,A. Cooper,ACA,122,42E (5548),College Transfer Success,No time given,Online,Online,Days to be Announced,08/17/2020-10/12/2020,Online
19,Alamance Community College,1.0,W. Shirley,ACA,122,43H (4346),College Transfer Success,12:40PM - 01:35PM, B Wing, B220 ,"Tuesday, Thursday",08/17/2020-10/12/2020,Graham Campus
20,Alamance Community College,3.0,To be Announced,CJC,121,51H (6599),Law Enforcement Operations,06:00PM - 08:00PM, Off Campus Locations for CU, OFFC1 ,"Monday, Wednesday",10/13/2020-12/15/2020,Burlington Campus
21,Alamance Community College,3.0,T. Holt,CJC,131,02H (6202),Criminal Law,09:05AM - 10:00AM, Graham Main Bldg, 00365 ,"Monday, Wednesday",08/17/2020-12/15/2020,Graham Campus
22,Alamance Community College,3.0,M. Williams,CJC,131,03H (6203),Criminal Law,12:50PM - 02:10PM, Graham Main Bldg, 00251 ,Tuesday,08/17/2020-12/15/2020,Graham Campus
23,Alamance Community College,3.0,R. Ellis,CJC,131,41E (4864),Criminal Law,No time given,Online,Online,Days to be Announced,08/17/2020-10/12/2020,Online
24,Alamance Community College,3.0,K. Best,CJC,132,61EY (6728),Court Procedure & Evidence,No time given,Online,Online,Days to be Announced,11/17/2020-01/15/2021,Online
25,Alamance Community College,3.0,K. Best,CJC,132,62EY (6729),Court Procedure & Evidence,No time given,Online,Online,Days to be Announced,11/17/2020-01/15/2021,Online
26,Alamance Community College,3.0,R. Collins,CJC,144,41H (4868),Crime Scene Processing,No time given,Online,Online,Days to be Announced,08/17/2020-10/12/2020,Graham Campus
27,Alamance Community College,3.0,R. Collins,CJC,146,51H (5011),Trace Evidence,09:30AM - 11:30AM, Graham Main Bldg, 00365 ,"Tuesday, Thursday",10/13/2020-12/15/2020,Graham Campus
28,Alamance Community College,3.0,R. Ellis,CJC,211,41E (6204),Counseling,No time given,Online,Online,Days to be Announced,08/17/2020-10/12/2020,Online
29,Alamance Community College,3.0,B. Woody,CJC,212,41H (5261),Ethics & Comm Relations,06:00PM - 08:00PM, Off Campus Locations for CU, OFFC1 ,"Monday, Wednesday",08/17/2020-10/12/2020,Graham Campus
30,Alamance Community College,3.0,T. Holt,CJC,213,01H (6205),Substance Abuse,08:00AM - 08:55AM, Graham Main Bldg, 00365 ,"Monday, Wednesday",08/17/2020-12/15/2020,Graham Campus
31,Alamance Community College,3.0,K. Best,CJC,213,61EY (6724),Substance Abuse,No time given,Online,Online,Days to be Announced,08/17/2020-09/29/2020,Online
32,Alamance Community College,4.0,T. Holt,CJC,221,01E (6135),Investigative Principles,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
33,Alamance Community College,4.0,T. Holt,CJC,221,01W (4874),Investigative Principles,12:50PM - 01:50PM, Graham Main Bldg, 00365 ,"Tuesday, Thursday",08/17/2020-12/15/2020,Graham Campus
34,Alamance Community College,3.0,"T. Holt, R. Ellis",CJC,225,01E (4872),Crisis Intervention,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
35,Alamance Community College,3.0,T. Holt,CJC,225,02H (6206),Crisis Intervention,08:00AM - 09:20AM, Graham Main Bldg, 00365 ,Tuesday,08/17/2020-12/15/2020,Graham Campus
36,Alamance Community College,3.0,D. Elderkin,COM,110,01E (5571),Introduction to Communication,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
37,Alamance Community College,3.0,D. Sargent,COM,120,01E (5572),Intro Interpersonal Com,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
38,Alamance Community College,3.0,D. Sargent,COM,231,01E (5574),Public Speaking,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
39,Alamance Community College,3.0,E. Williams,COM,231,02E (5576),Public Speaking,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
40,Alamance Community College,3.0,D. Elderkin,COM,231,03E (5577),Public Speaking,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
41,Alamance Community College,3.0,D. Elderkin,COM,231,04E (5579),Public Speaking,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
42,Alamance Community College,3.0,D. Elderkin,COM,231,05E (4404),Public Speaking,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
43,Alamance Community College,3.0,D. Sargent,COM,231,06E (5580),Public Speaking,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
44,Alamance Community College,3.0,E. Williams,COM,231,07E (5581),Public Speaking,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
45,Alamance Community College,3.0,E. Williams,COM,231,08E (5582),Public Speaking,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
46,Alamance Community College,3.0,D. Sargent,COM,231,09E (5583),Public Speaking,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
47,Alamance Community College,3.0,D. Sargent,COM,231,11E (5585),Public Speaking,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
48,Alamance Community College,3.0,D. Elderkin,COM,231,13E (4415),Public Speaking,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
49,Alamance Community College,3.0,W. Walters,COM,231,14E (5587),Public Speaking,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
50,Alamance Community College,3.0,D. Elderkin,COM,231,16E (4418),Public Speaking,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
51,Alamance Community College,3.0,E. Williams,COM,231,61EY (6645),Public Speaking,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
52,Alamance Community College,4.0,R. Servie,COS,111,61H (6732),Cosmetology Concepts I,08:00AM - 12:15PM, Dillingham Center, 155 ,Monday,08/17/2020-12/15/2020,Burlington Campus
53,Alamance Community College,4.0,A. Scott,COS,111,62H (6733),Cosmetology Concepts I,08:00AM - 12:15PM, Dillingham Center, 155 ,Monday,08/17/2020-12/15/2020,Burlington Campus
54,Alamance Community College,2.0,C. White,COS,111AB,63HY (6745),Cosmetology Concepts I,03:00PM - 05:00PM, Dillingham Center, 155 ,Monday,08/17/2020-12/15/2020,Burlington Campus
55,Alamance Community College,2.0,C. White,COS,111BB,63HY (6750),Cosmetology Concepts I,05:30PM - 07:30PM, Dillingham Center, 155 ,Monday,08/17/2020-12/15/2020,Burlington Campus
56,Alamance Community College,8.0,R. Servie,COS,112,61H (6734),Salon I,08:15AM - 04:15PM, Dillingham Center, 155 ,"Tuesday, Wednesday, Thursday",08/17/2020-12/15/2020,Burlington Campus
57,Alamance Community College,8.0,A. Scott,COS,112,62H (6735),Salon I,08:15AM - 04:15PM, Dillingham Center, 155 ,"Tuesday, Wednesday, Thursday",08/17/2020-12/15/2020,Burlington Campus
58,Alamance Community College,8.0,T. Williamson,COS,112,63H (6859),Salon I,08:15AM - 04:15PM, Dillingham Center, 155 ,"Tuesday, Wednesday, Thursday",08/17/2020-12/15/2020,Burlington Campus
59,Alamance Community College,8.0,T. Williamson,COS,112,64H (6860),Salon I,08:15AM - 04:15PM, Dillingham Center, 155 ,"Tuesday, Wednesday, Thursday",08/17/2020-12/15/2020,Burlington Campus
60,Alamance Community College,4.0,O. Williams,COS,112AB,63HY (6746),Salon I,03:00PM - 07:00PM, Dillingham Center, 155,"Tuesday, Wednesday, Thursday",08/18/2020-12/10/2020,Burlington Campus
61,Alamance Community College,4.0,O. Williams,COS,112BB,63H (6751),Salon I,05:30PM - 09:30PM, Dillingham Center, 155 ,"Tuesday, Wednesday, Thursday",08/17/2020-12/15/2020,Burlington Campus
62,Alamance Community College,2.0,O. Williams,COS,113AB,63HY (6748),Cosmetology Concepts II,03:00PM - 05:00PM, Dillingham Center, 155 ,"Tuesday, Wednesday, Thursday",08/17/2020-12/15/2020,Burlington Campus
63,Alamance Community College,4.0,O. Williams,COS,114AB,63HY (6749),Salon II,03:00PM - 07:00PM, Dillingham Center, 155 ,Monday,08/17/2020-12/15/2020,Burlington Campus
64,Alamance Community College,4.0,H. Cook,COS,115,61H (6741),Cosmetology Concepts III,08:15AM - 12:15PM, Dillingham Center, 155 ,Monday,08/17/2020-12/15/2020,Burlington Campus
65,Alamance Community College,4.0,K. Rivers,COS,115,62H (6742),Cosmetology Concepts III,08:15AM - 12:15PM, Dillingham Center, 155 ,Monday,08/17/2020-12/15/2020,Burlington Campus
66,Alamance Community College,4.0,H. Cook,COS,116,61H (6739),Salon III,08:15AM - 04:15PM, Dillingham Center, 155 ,"Tuesday, Wednesday, Thursday",08/17/2020-12/15/2020,Burlington Campus
67,Alamance Community College,4.0,K. Rivers,COS,116,62H (6740),Salon III,08:15AM - 04:15PM, Dillingham Center, 155 ,"Tuesday, Wednesday, Thursday",08/17/2020-12/15/2020,Burlington Campus
68,Alamance Community College,2.0,C. White,COS,119,61H (6736),Esthetics Concepts I,08:15AM - 12:15PM, Dillingham Center, 155 ,Monday,08/17/2020-12/15/2020,Burlington Campus
69,Alamance Community College,6.0,"C. White, H. Laws",COS,120,61H (6738),Esthetics Salon I,08:15AM - 02:15PM, Dillingham Center, 155 ,"Tuesday, Wednesday, Thursday",08/17/2020-12/15/2020,Burlington Campus
70,Alamance Community College,2.0,H. Cook,COS,223,61H (6743),Contemp Hair Coloring,08:15AM - 09:15AM, Dillingham Center, 155 ,Friday,08/17/2020-12/15/2020,Burlington Campus
71,Alamance Community College,2.0,K. Rivers,COS,223,62H (6744),Contemp Hair Coloring,08:15AM - 09:15AM, Dillingham Center, 155 ,Friday,08/17/2020-12/15/2020,Burlington Campus
72,Alamance Community College,1.0,"O. Williams, H. Laws",COS,224AB,63HY (6747),Trichology & Chemistry,05:15PM - 06:15PM, Dillingham Center, 155 ,Monday,08/17/2020-12/15/2020,Burlington Campus
73,Alamance Community College,1.0,O. Williams,COS,224BB,63HY (6752),Trichology & Chemistry,07:45PM - 09:45PM, Dillingham Center, 155 ,Monday,08/17/2020-12/15/2020,Burlington Campus
74,Alamance Community College,3.0,L. Gaines,CSC,151,01E (5984),JAVA Programming,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
75,Alamance Community College,3.0,B. Jones,CTI,110,01E (5985),"Web, Pgm, & Db Foundation",No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
76,Alamance Community College,3.0,B. Jones,CTI,110,02E (4294),"Web, Pgm, & Db Foundation",No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
77,Alamance Community College,3.0,B. Jones,CTI,120,01E (5986),Network & Sec Foundation,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
78,Alamance Community College,3.0,B. Jones,CTI,120,02E (4296),Network & Sec Foundation,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
79,Alamance Community College,3.0,D. McCusker,CTS,115,01E (4297),Info Sys Business Concepts,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
80,Alamance Community College,3.0,S. Ellinwood,CTS,120,01H (4298),Hardware/Software Support,08:00AM - 10:00AM, A Wing, A312 ,Tuesday,08/17/2020-12/15/2020,Graham Campus
81,Alamance Community College,3.0,V. Whitley,CTS,130,01E (4299),Spreadsheet,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
82,Alamance Community College,3.0,V. Whitley,CTS,130,02E (6398),Spreadsheet,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
83,Alamance Community College,3.0,D. McCusker,CTS,285,01E (5990),Systems Analysis & Design,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
84,Alamance Community College,2.0,T. Wanless,CUL,110,01E (3860),Sanitation & Safety,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
85,Alamance Community College,5.0,B. Bailey,CUL,140,01H (6479),Culinary Skills I,08:00AM - 10:10AM, A Wing, A228 ,Tuesday,08/17/2020-12/15/2020,Graham Campus
86,Alamance Community College,5.0,"B. Bailey, J. Mitchell",CUL,140,02H (6480),Culinary Skills I,10:25AM - 12:25PM, A Wing, A228 ,Tuesday,08/17/2020-12/15/2020,Graham Campus
87,Alamance Community College,5.0,J. Mitchell,CUL,140,03H (6481),Culinary Skills I,08:00AM - 10:10AM, A Wing, A228 ,Monday,08/17/2020-12/15/2020,Graham Campus
88,Alamance Community College,2.0,T. Wanless,CUL,150,01H (6482),Food Science,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Graham Campus
89,Alamance Community College,2.0,T. Wanless,CUL,150,02H (6483),Food Science,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Graham Campus
90,Alamance Community College,2.0,T. Wanless,CUL,150,03H (6484),Food Science,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Graham Campus
91,Alamance Community College,3.0,T. Wanless,CUL,170,01H (6485),Garde Manger I,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Graham Campus
92,Alamance Community College,2.0,T. Wanless,CUL,214,01H (6486),Wine Appreciation,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Graham Campus
93,Alamance Community College,3.0,M. Kimber,CUL,280,01H (6487),Pastry & Confections,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Graham Campus
94,Alamance Community College,3.0,B. Bailey,CUL,280,03H (6489),Pastry & Confections,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Graham Campus
95,Alamance Community College,3.0,L. Gaines,DBA,110,02E (4302),Database Concepts,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
96,Alamance Community College,3.0,L. Gaines,DBA,120,01E (5991),Database Programming I,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
97,Alamance Community College,4.0,J. Adkins,DDF,211,01H (6538),Design Process I,08:00AM - 08:30AM,Online,Online,"Monday, Wednesday",08/17/2020-12/15/2020,Graham Campus
98,Alamance Community College,2.0,J. Roberts,DEN,100,41W (5066),Basic Orofacial Anatomy,08:30AM - 10:30AM, Graham Main Bldg, 00301,"Monday, Friday",08/17/2020-10/12/2020,Graham Campus
99,Alamance Community College,2.0,J. Christopher,DEN,100,42H (5075),Basic Orofacial Anatomy,05:00PM - 07:00PM, Graham Main Bldg, 00326 ,Monday,08/25/2020-10/12/2020,Graham Campus
100,Alamance Community College,7.0,"J. Roberts, D. Pruitt, K. Hussey, J. C (more)",DEN,101,01W (6278),Preclinical Procedures,10:40AM - 02:40PM, Graham Main Bldg, 326 ,Monday,08/17/2020-12/15/2020,Graham Campus
101,Alamance Community College,7.0,"J. Roberts, D. Pruitt, K. Hussey",DEN,101,02W (6280),Preclinical Procedures,10:40AM - 02:40PM, Graham Main Bldg, 326 ,Tuesday,08/17/2020-12/15/2020,Graham Campus
102,Alamance Community College,3.0,"J. Christopher, B. Patterson",DEN,101AB,01H (5077),Preclinical Procedures,No time given,Online,Online,Days to be Announced,08/25/2020-12/15/2020,Graham Campus
103,Alamance Community College,4.0,"J. Christopher, B. Patterson",DEN,101BB,01H (5078),Preclinical Procedures,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Graham Campus
104,Alamance Community College,2.0,To be Announced,DEN,102AB,51W (5069),Dental Materials,08:30AM - 10:30AM, Graham Main Bldg, 00326 ,Tuesday,10/13/2020-12/15/2020,Graham Campus
105,Alamance Community College,2.0,"D. Pruitt, K. Hussey",DEN,102AB,52W (5070),Dental Materials,08:30AM - 10:30AM, Graham Main Bldg, 00326 ,Tuesday,10/13/2020-12/15/2020,Graham Campus
106,Alamance Community College,2.0,"B. Patterson, K. Hussey",DEN,102BB,41H (5079),Dental Materials,No time given,Online,Online,Days to be Announced,08/17/2020-10/12/2020,Graham Campus
107,Alamance Community College,2.0,D. Pruitt,DEN,111,51W (5071),Infection/Hazard Control,08:30AM - 10:30AM, Graham Main Bldg, 00301,"Monday, Friday",10/16/2020-12/11/2020,Graham Campus
108,Alamance Community College,2.0,J. Christopher,DEN,111,52H (5076),Infection/Hazard Control,05:00PM - 07:00PM, Graham Main Bldg, 00326 ,Monday,10/13/2020-12/15/2020,Graham Campus
109,Alamance Community College,1.5,"J. Roberts, K. Hussey",DEN,112AB,41W (5072),Dental Radiography,08:30AM - 10:30AM, Graham Main Bldg, 00326 ,Tuesday,08/17/2020-10/12/2020,Graham Campus
110,Alamance Community College,1.5,"J. Roberts, K. Hussey, D. Pruitt",DEN,112AB,42W (5386),Dental Radiography,08:30AM - 10:30AM, Graham Main Bldg, 00326 ,Tuesday,08/17/2020-10/12/2020,Graham Campus
111,Alamance Community College,1.5,"J. Roberts, K. Hussey, D. Pruitt",DEN,112AB,43W (5387),Dental Radiography,08:30AM - 10:30AM, Graham Main Bldg, 00326 ,Tuesday,08/17/2020-10/12/2020,Graham Campus
112,Alamance Community College,2.0,J. Bussell,DFT,111,01W (6546),Technical Drafting I,08:00AM - 08:30AM, A Wing, A211 ,"Monday, Wednesday",08/17/2020-12/15/2020,Graham Campus
113,Alamance Community College,1.0,J. Bussell,DFT,111A,01W (6547),Technical Drafting I Lab,10:10AM - 11:35AM, A Wing, A211,"Monday, Wednesday",08/17/2020-12/09/2020,Graham Campus
114,Alamance Community College,3.0,J. Bussell,DFT,151,01H (6539),CAD I,12:10PM - 01:05PM,Online,Online,"Tuesday, Thursday",08/17/2020-12/15/2020,Graham Campus
115,Alamance Community College,3.0,J. Bussell,DFT,151,02NH (6540),CAD I,06:30PM - 07:25PM,Online,Online,"Monday, Wednesday",08/17/2020-12/15/2020,Graham Campus
116,Alamance Community College,3.0,J. Bussell,DFT,152,01NH (6541),CAD II,06:30PM - 07:25PM,Online,Online,"Monday, Wednesday",08/17/2020-12/15/2020,Graham Campus
117,Alamance Community College,3.0,J. Adkins,DFT,154,01H (6542),Intro Solid Modeling,12:40PM - 01:30PM,Online,Online,"Tuesday, Thursday",08/17/2020-12/15/2020,Graham Campus
118,Alamance Community College,3.0,J. Bussell,DFT,154,03H (6544),Intro Solid Modeling,06:30PM - 07:25PM,Online,Online,"Tuesday, Thursday",08/17/2020-12/15/2020,Graham Campus
119,Alamance Community College,3.0,"D. McCusker, R. Sondles",DFT,170,01E (6602),Engineering Graphics,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Graham Campus
120,Alamance Community College,3.0,T. Notley,DRA,111,01E (4376),Theatre Appreciation,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
121,Alamance Community College,3.0,T. Beveridge,ECO,251,04E (4196),Prin of Microeconomics,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
122,Alamance Community College,3.0,"S. Guney, S. Crofts",ECO,251,06E (6499),Prin of Microeconomics,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
123,Alamance Community College,3.0,"S. Guney, S. Crofts",ECO,251,07E (6529),Prin of Microeconomics,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
124,Alamance Community College,3.0,J. Taunton,ECO,252,04E (5919),Prin of Macroeconomics,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
125,Alamance Community College,3.0,J. Taunton,ECO,252,05E (6530),Prin of Macroeconomics,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
126,Alamance Community College,4.0,J. Jones,EDU,119,01H (6344),Intro to Early Child Educ,09:05AM - 11:00AM, Graham Main Bldg, 00209 ,Tuesday,08/17/2020-12/15/2020,Graham Campus
127,Alamance Community College,4.0,S. Doe,EDU,119,03E (4674),Intro to Early Child Educ,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
128,Alamance Community College,3.0,S. Doe,EDU,131,03E (5268),"Child, Family, and Community",No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
129,Alamance Community College,3.0,S. Doe,EDU,144,01H (6345),Child Development I,11:15AM - 12:10PM, Graham Main Bldg, 00209 ,Wednesday,08/17/2020-12/15/2020,Graham Campus
130,Alamance Community College,3.0,D. Blankenship,EDU,144,42E (5270),Child Development I,No time given,Online,Online,Days to be Announced,08/17/2020-10/12/2020,Online
131,Alamance Community College,3.0,D. Blankenship,EDU,145,51E (4957),Child Development II,No time given,Online,Online,Days to be Announced,10/13/2020-12/15/2020,Online
132,Alamance Community College,3.0,K. Ketcham,EDU,146,01H (6346),Child Guidance,11:15AM - 12:35PM, Graham Main Bldg, 00209 ,Tuesday,08/17/2020-12/15/2020,Graham Campus
133,Alamance Community College,3.0,J. Jones,EDU,151,02E (4681),Creative Activities,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
134,Alamance Community College,3.0,R. Riggins,EDU,153,02E (4682),"Health, Safety and Nutrition",No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
135,Alamance Community College,3.0,J. Jones,EDU,157,01E (4794),Active Play,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
136,Alamance Community College,2.0,J. Jones,EDU,184,02E (4796),Early Child Intro Pract,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
137,Alamance Community College,3.0,S. Doe,EDU,221,03H (6347),Children With Exceptionalities,12:20PM - 01:15PM, Graham Main Bldg, 00209 ,Wednesday,08/17/2020-12/15/2020,Graham Campus
138,Alamance Community College,3.0,S. Doe,EDU,221,04E (5274),Children With Exceptionalities,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
139,Alamance Community College,3.0,K. Ketcham,EDU,234,01H (6348),"Infants, Toddlers, and Twos",12:45PM - 02:10PM, Graham Main Bldg, 00209 ,Tuesday,08/17/2020-12/15/2020,Graham Campus
140,Alamance Community College,3.0,J. Jones,EDU,251,02E (4801),Exploration Activities,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
141,Alamance Community College,3.0,K. Ketcham,EDU,261,41E (4802),Early Childhood Admin I,No time given,Online,Online,Days to be Announced,08/17/2020-10/12/2020,Online
142,Alamance Community College,3.0,C. Sykes,EDU,262,51E (4958),Early Childhood Admin II,No time given,Online,Online,Days to be Announced,10/13/2020-12/15/2020,Online
143,Alamance Community College,3.0,E. Kroenung,EDU,280,01E (4803),Language/Literacy Experiences,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
144,Alamance Community College,3.0,S. Doe,EDU,280,01H (6349),Language/Literacy Experiences,11:15AM - 12:35PM, Graham Main Bldg, 00209 ,Thursday,08/17/2020-12/15/2020,Graham Campus
145,Alamance Community College,4.0,J. Jones,EDU,284,01E (4805),Early Child Capstone Prac,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
146,Alamance Community College,3.0,J. Talvitie-Siple,EFL,055,01E (4704),English for Special Purpo,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
147,Alamance Community College,5.0,J. Talvitie-Siple,EFL,072,01E (4707),Reading II,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
148,Alamance Community College,5.0,J. Talvitie-Siple,EFL,073,01E (4708),Reading III,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
149,Alamance Community College,5.0,J. Talvitie-Siple,EFL,074,01E (4709),Reading IV,No time given,Online,Online,Days to be Announced,08/17/2020-12/11/2020,Online
150,Alamance Community College,5.0,J. Talvitie-Siple,EFL,092,01E (4883),Composition II,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
151,Alamance Community College,5.0,J. Talvitie-Siple,EFL,093,01E (4884),Composition III,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
152,Alamance Community College,5.0,J. Talvitie-Siple,EFL,094,01E (4885),Composition IV,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
153,Alamance Community College,2.0,D. McCusker,EGR,150,01E (6055),Intro to Engineering,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
154,Alamance Community College,5.0,J. Adkins,EGR,250,01W (6545),Statics/Strength of Mater,08:00AM - 10:00AM, Room to be Announced (more)...,TBA,Days to be Announced,08/17/2020-12/15/2020,Graham Campus
155,Alamance Community College,5.0,R. Roberts,ELC,112,01H (6451),DC/AC Electricity,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Graham Campus
156,Alamance Community College,5.0,R. Roberts,ELC,112,02H (6452),DC/AC Electricity,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Graham Campus
157,Alamance Community College,5.0,R. Roberts,ELC,112,03H (6453),DC/AC Electricity,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Graham Campus
158,Alamance Community College,4.0,J. McCormick,ELC,113,01H (6471),Residential Wiring,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Graham Campus
159,Alamance Community College,4.0,J. McCormick,ELC,113,02H (6473),Residential Wiring,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Graham Campus
